Fecha,Hora,caudal m3 puelo
07/03/2022,20:46,696.140
07/03/2022,21:46,677.860
07/03/2022,22:46,673.290
07/03/2022,23:46,655.694
08/03/2022,00:46,655.694
08/03/2022,01:46,642.497
08/03/2022,02:46,633.699
08/03/2022,03:46,625.069
08/03/2022,04:46,612.376
08/03/2022,05:46,608.145
08/03/2022,06:46,591.221
08/03/2022,07:46,582.930
08/03/2022,08:46,582.930
08/03/2022,09:46,566.690
08/03/2022,10:46,566.690
08/03/2022,11:46,554.510
08/03/2022,12:46,558.570
08/03/2022,13:46,566.690
08/03/2022,14:46,599.683
08/03/2022,15:46,660.093
08/03/2022,16:46,723.729
08/03/2022,17:46,752.163
08/03/2022,18:46,752.163
08/03/2022,19:46,747.424
08/03/2022,20:46,733.207
08/03/2022,21:46,752.163
08/03/2022,22:46,781.104
08/03/2022,23:46,795.828
09/03/2022,00:46,815.460
09/03/2022,01:46,820.539
09/03/2022,02:46,835.776
09/03/2022,03:46,840.855
09/03/2022,04:46,840.855
09/03/2022,05:46,840.855
09/03/2022,06:46,851.013
09/03/2022,07:46,845.934
09/03/2022,08:46,815.460
09/03/2022,09:46,790.920
09/03/2022,10:46,795.828
09/03/2022,11:46,786.012
09/03/2022,12:46,781.104
09/03/2022,13:46,771.288
09/03/2022,14:46,756.902
09/03/2022,15:46,733.207
09/03/2022,16:46,733.207
09/03/2022,17:46,714.420
09/03/2022,18:46,700.710
09/03/2022,19:46,691.570
09/03/2022,20:46,691.570
09/03/2022,21:46,673.290
09/03/2022,22:46,664.492
09/03/2022,23:46,655.694
10/03/2022,00:46,646.896
10/03/2022,01:46,642.497
10/03/2022,02:46,629.300
10/03/2022,03:46,620.838
10/03/2022,04:46,620.838
10/03/2022,05:46,612.376
10/03/2022,06:46,603.914
10/03/2022,07:46,591.221
10/03/2022,08:46,586.990
10/03/2022,09:46,582.930
10/03/2022,10:46,570.750
10/03/2022,11:46,570.750
10/03/2022,12:46,562.630
10/03/2022,13:46,554.510
10/03/2022,14:46,546.390
10/03/2022,15:46,542.498
10/03/2022,16:46,534.714
10/03/2022,17:46,530.822
10/03/2022,18:46,526.930
10/03/2022,19:46,519.146
10/03/2022,20:46,507.470
10/03/2022,21:46,507.470
10/03/2022,22:46,500.028
10/03/2022,23:46,500.028
11/03/2022,00:46,492.586
11/03/2022,01:46,496.307
11/03/2022,02:46,492.586
11/03/2022,03:46,485.144
11/03/2022,04:46,485.144
11/03/2022,05:46,477.702
11/03/2022,06:46,477.702
11/03/2022,07:46,466.708
